Timestamp,TransactionId,Work Arrangement,Number of Work Days,WFH Days,Onsite Days,Travel Methods,Monday Travel Method,Tuesday Travel Method,Wednesday Travel Method,Thursday Travel Method,Friday Travel Method,Saturday Travel Method,Sunday Travel Method,Carpool Passenger Count,Distance,Department,Incentive Feedback
2022-07-14 11:44:20 GMT+10,vmpymd,hybrid,5,Wednesday,"Monday, Tuesday, Thursday, Friday",Car,Car,Car,,Car,Car,,,0,10,Active & Healthy Lifestyles,
2022-07-14 12:11:58 GMT+10,0dubiy,hybrid,5,"Monday, Friday","Tuesday, Wednesday, Thursday",Car,,Car,Car,Car,,,,0,6,GovHub & Our Future Workplace,I would probably ride my electric scooter if it was not illegal
2022-07-14 12:26:13 GMT+10,0jcoq0,onsite,4,,"Tuesday, Wednesday, Thursday, Friday",Car,,Car,Car,Car,Car,,,0,10,Financial Strategy,"Protected bike paths on spoke routes into CBD.
Reduced traffic on those routes.
Safe bike paths to schools so that kids don't have to be dropped off by car (ie from Homebush in Junortoun to Strathfieldsaye).
Somewhere safe to store bike.
Showering facilities, place to hang/store wet towel.
"
2022-07-14 12:31:57 GMT+10,jmhfuc,hybrid,3,Monday,"Tuesday, Thursday",Car,,Car,,Car,,,,0,8,Information Management,pay for the petrol
2022-07-14 13:17:27 GMT+10,1zz46w,hybrid,5,"Monday, Tuesday, Friday","Wednesday, Thursday",Car,,,Car,Car,,,,0,140,People & Culture,work full time from home unless needed
2022-07-14 14:04:34 GMT+10,biha7v,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Car,Car,Car,Car,Car,Car,,,0,38,Bendigo Venues & Events,"Provide reliable shuttle transport from the Bendigo train station to the worksite, including to View St and offsite locations.  Increase Vline trains during peak times on the Melborune - Bendigo lines and include stops at small towns (which are currently not running) like Malmsbury, Taradale, Elphingstone, Heathcote.  I'd prefer to catch the train to work if it was more achievable. "
2022-07-14 14:07:24 GMT+10,7t5vbv,onsite,3,,"Monday, Wednesday, Friday",Motorbike,Motorbike,,Motorbike,,Motorbike,,,0,4,Active & Healthy Lifestyles, 
2022-07-14 14:49:04 GMT+10,oxvsfq,wfh,5,"Monday, Tuesday, Wednesday, Thursday, Friday",,Train/tram,Train/tram,Train/tram,Train/tram,Train/tram,Train/tram,,,0,35,Community Wellbeing,
2022-07-15 8:54:17 GMT+10,c5n6tc,onsite,4,,"Tuesday, Wednesday, Thursday, Friday",Car,,Car,Car,Car,Car,,,0,0,Community Wellbeing,
2022-07-15 8:59:19 GMT+10,a7vwt8,hybrid,5,Monday,"Tuesday, Wednesday, Thursday, Friday",Car,,Car,Car,Car,Car,,,0,3,Bendigo Venues & Events,
2022-07-15 9:24:36 GMT+10,48aqgt,hybrid,3,Monday,"Wednesday, Friday","Bus, Walk/run",,,Bus,,Walk/run,,,0,3.4,Community Partnerships,"Advocate for more frequent buses - there are only 2 x per hour during peak hours along the main road (High Street, Golden Square)."
2022-07-15 10:47:57 GMT+10,p54jup,onsite,3,,"Wednesday, Thursday, Friday",Car,,,Car,Car,Car,,,0,16.7,Safe & Healthy Environments,"Support buses from outlying areas such as Lockwood, Marong etc"
2022-07-15 15:40:31 GMT+10,a9vm4k,onsite,4,,"Monday, Tuesday, Wednesday, Friday",Car,Car,Car,Car,,Car,,,0,4,Financial Strategy,"There needs to be some thought that not everyone is just travelling too and from work. 
There are families that are doing multiple drop of at other venues (schools/daycares/partners work) that are time sensitive.
These individuals will be disadvantaged by those starting earlier to get close carparks."
2022-07-16 10:02:32 GMT+10,0wn9af,onsite,2,,"Monday, Wednesday",Bicycle,Bicycle,,Bicycle,,,,,0,5,Bendigo Venues & Events,
2022-07-17 13:06:11 GMT+10,qgl5zq,hybrid,5,"Monday, Tuesday","Wednesday, Thursday, Friday",Carpool,,,Carpool,Carpool,Carpool,,,3,10,Active & Healthy Lifestyles,
2022-07-17 19:34:09 GMT+10,wjxmqi,onsite,4,,"Monday, Tuesday, Wednesday, Friday","Carpool, Car, Walk/run",Car,Car,Walk/run,,Carpool,,,1,2.2,Financial Strategy,Increase parking charges.
2022-07-18 8:18:47 GMT+10,34k140,onsite,2,,"Monday, Tuesday",Car,Car,Car,,,,,,0,3,Statutory Planning,
2022-07-18 8:43:28 GMT+10,qldf3y,onsite,2,,"Monday, Tuesday",Car,Car,Car,,,,,,0,5,Engineering,"Changing rooms, showers, storage space for bikes"
2022-07-18 10:17:50 GMT+10,zb9o7f,hybrid,5,"Wednesday, Friday","Monday, Tuesday, Thursday",Car,Car,Car,,Car,,,,0,5,Active & Healthy Lifestyles,
2022-07-18 10:25:50 GMT+10,ycvftk,hybrid,5,Tuesday,"Monday, Wednesday, Thursday, Friday",Walk/run,Walk/run,,Walk/run,Walk/run,Walk/run,,,0,1.6,Active & Healthy Lifestyles,
2022-07-18 10:41:00 GMT+10,4redb1,hybrid,5,"Tuesday, Wednesday","Monday, Thursday, Friday",Walk/run,Walk/run,,,Walk/run,Walk/run,,,0,2.5,Active & Healthy Lifestyles,"More bike parking facilities (non-hanging), more bike paths and separated bike lanes."
2022-07-18 11:05:18 GMT+10,vpxygf,onsite,4,,"Tuesday, Wednesday, Thursday, Friday",Car,,Car,Car,Car,Car,,,0,15,Property Services,Park and ride facilities from Kangaroo Flat
2022-07-18 12:59:21 GMT+10,7j6vpl,onsite,4,,"Monday, Tuesday, Wednesday, Thursday",Car,Car,Car,Car,Car,,,,0,0,Community Wellbeing,"access to fleet cars - frustrating if book car and go to car park to find it not there
Time to access cars also impacts - easier to use my own car to attend other sites "
2022-07-18 14:40:13 GMT+10,ymnmbb,hybrid,5,"Monday, Wednesday","Tuesday, Thursday, Friday",Car,,Car,,Car,Car,,,0,6,Climate Change and Environment,better weather
2022-07-18 16:01:08 GMT+10,xp95pj,hybrid,5,Thursday,"Monday, Tuesday, Wednesday, Friday",Car,Car,Car,Car,,Car,,,0,20,Active & Healthy Lifestyles,"Better change facilities at work and bike parking. Improve park and ride options, I really need to drive due to distance and being able to mix it up requires some sort of park and ride option or a dramatic improvement in cycling infrastructure.  "
2022-07-19 14:7:5 GMT+10,1cz0w3,hybrid,3,Wednesday,"Tuesday, Thursday","Bicycle, Walk/run",,Walk/run,,Bicycle,,,,0,40,Property Services,
2022-07-19 16:41:12 GMT+10,e11lh4,onsite,3,,"Monday, Tuesday, Wednesday",Car,Car,Car,Car,,,,,0,12,Safe & Healthy Environments,
2022-07-19 16:41:59 GMT+10,0sugw5,hybrid,5,Friday,"Monday, Tuesday, Wednesday, Thursday",Car,Car,Car,Car,Car,,,,0,78,Office of the CEO/Director,
2022-07-19 16:48:24 GMT+10,d1us25,hybrid,5,Friday,"Monday, Tuesday, Wednesday, Thursday",Car,Car,Car,Car,Car,,,,0,11,People & Culture,"improved change room facilities
improved safe storage options for bikes / e-bikes
increased awareness of novated lease option for e-bikes and the savings available"
2022-07-19 16:54:09 GMT+10,bm8eqm,hybrid,5,"Monday, Wednesday, Friday","Tuesday, Thursday",Carpool,,Carpool,,Carpool,,,,1,2,Climate Change and Environment,"Increase and improve end of trip facilities. 
Advocate for more regular public transport and expand the network.  "
2022-07-19 16:57:10 GMT+10,qgz06p,hybrid,3,Tuesday,"Monday, Thursday",Car,Car,,,Car,,,,0,3.5,Safe & Healthy Environments,staggered starting times .  Parents who have no choice but to drop off children at childcare and school before work- public transport is not an option if wanting to start at 8:30-9am. Parking is also a real issue for this group as most carparks are taken by 8:20am and time is wasted looking for parks.
2022-07-19 17:07:48 GMT+10,g60suw,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Walk/run,Walk/run,Walk/run,Walk/run,Walk/run,Walk/run,,,0,1,Business Transformation,
2022-07-20 8:24:42 GMT+10,rq7j50,hybrid,3,Monday,"Tuesday, Wednesday","Carpool, Car",,Carpool,Car,,,,,1,8.6,Resource Recovery & Education,
2022-07-20 8:25:27 GMT+10,n9kr2f,onsite,3,,"Tuesday, Wednesday, Thursday",Car,,Car,Car,Car,,,,0,6.4,People & Culture,"In my case, I have responsibilities after work which I need to attend so I am not going straight home. So its not a matter of removing barriers for me."
2022-07-20 8:33:24 GMT+10,day9bc,hybrid,4,"Monday, Thursday","Tuesday, Wednesday",Car,,Car,Car,,,,,0,4,Resource Recovery & Education,"As a Depot staff member, Catching the bus into town, then back to Golden Square is further in kms and longer in time than driving."
2022-07-20 8:41:54 GMT+10,iduvjs,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Bicycle,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle,,,0,7,Parks & Open Spaces,Provide dedicated bike lanes on arterial roads
2022-07-20 8:46:05 GMT+10,qhiu4t,hybrid,5,Thursday,"Monday, Tuesday, Wednesday, Friday",Car,Car,Car,Car,,Car,,,0,5,Active & Healthy Lifestyles,"Change room facilities
Advocate for increased bus services
Improve active transport options especially in the centre of the City"
2022-07-20 9:07:12 GMT+10,umgbe4,hybrid,3,Wednesday,"Monday, Tuesday",Car,Car,Car,,,,,,0,10,Active & Healthy Lifestyles,Off road bike/walking track from out of town (i.e. Strathfieldsaye) into Bendigo CBD would help those living outside CBD to ride safely to/from work. 
2022-07-20 11:21:35 GMT+10,p6tvhf,onsite,4,,"Tuesday, Wednesday, Thursday, Friday",Car,,Car,Car,Car,Car,,,0,3,Community Wellbeing,
2022-07-20 11:39:14 GMT+10,7ljehe,hybrid,5,"Thursday, Friday","Monday, Tuesday, Wednesday",Car,Car,Car,Car,,,,,0,28.9,Resource Recovery & Education,
2022-07-20 11:49:12 GMT+10,kotaqh,hybrid,2,Monday,Tuesday,Car,,Car,,,,,,0,61,Active & Healthy Lifestyles,
2022-07-20 14:22:53 GMT+10,kwhuqn,wfh,5,"Monday, Tuesday, Wednesday, Thursday, Friday",,Bus,Bus,Bus,Bus,Bus,Bus,,,0,9,Financial Strategy,
2022-07-20 15:12:44 GMT+10,gjutc8,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Car,Car,Car,Car,Car,Car,,,0,5,Resource Recovery & Education,
2022-07-21 12:40:01 GMT+10,7f5o5j,hybrid,5,"Monday, Friday","Tuesday, Wednesday, Thursday",Car,,Car,Car,Car,,,,0,3.1,Community Wellbeing,"Influence making sure public transport is available when we need to get to work (scheduling).
As a manager with a car - I HAVE to drive to work on my onsite days, so my car is available to other staff to book... not sure what options there might be in this instance"
2022-07-22 14:13:53 GMT+10,fmwmba,hybrid,5,Friday,"Monday, Tuesday, Wednesday, Thursday",Car,Car,Car,Car,Car,,,,0,2,Bendigo Venues & Events,
2022-07-22 14:22:19 GMT+10,1jbhe3,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Car,Car,Car,Car,Car,Car,,,0,10,Active & Healthy Lifestyles,
2022-07-22 14:56:48 GMT+10,4szs33,wfh,1,Friday,,Car,,,,,Car,,,0,4,Active & Healthy Lifestyles,Incentives to ride would be good
2022-07-22 15:21:53 GMT+10,5jf13r,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Car,Car,Car,Car,Car,Car,,,0,3,Active & Healthy Lifestyles,
2022-07-22 15:30:17 GMT+10,x8gkwn,hybrid,5,"Monday, Thursday","Tuesday, Wednesday, Friday",Carpool,,Carpool,Carpool,,Carpool,,,1,7.3,Safe & Healthy Environments,
2022-07-22 15:36:10 GMT+10,ajuzyx,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Car,Car,Car,Car,Car,Car,,,0,4,Active & Healthy Lifestyles,"Track into office, storage for bikes."
2022-07-27 16:11:44 GMT+5:30,wsiu1e,wfh,2,"Tuesday, Sunday",,Bus,,Bus,,,,,Bus,0,67,Engineering,asdasd
